,precision,recall,f1-score,support
0,0.8690176322418136,0.8414634146341463,0.8550185873605948,410.0
1,0.6707616707616708,0.6674816625916871,0.6691176470588235,409.0
2,0.5744186046511628,0.6349614395886889,0.6031746031746031,389.0
3,0.803763440860215,0.7512562814070352,0.7766233766233767,398.0
accuracy,0.7247820672478207,0.7247820672478207,0.7247820672478207,0.7247820672478207
macro avg,0.7294903371287156,0.7237906995553893,0.7259835535543495,1606.0
weighted avg,0.7309996508295984,0.7247820672478207,0.7272464277683233,1606.0
