,precision,recall,f1-score,support
0,0.6506024096385542,0.9197080291970803,0.7620967741935484,411.0
1,0.0,0.0,0.0,456.0
2,0.0,0.0,0.0,352.0
3,0.3775609756097561,1.0,0.5481586402266289,387.0
accuracy,0.4763387297633873,0.4763387297633873,0.4763387297633873,0.4763387297633873
macro avg,0.2570408463120776,0.47992700729927007,0.3275638536050443,1606.0
weighted avg,0.2574805030650196,0.4763387297633873,0.3271227695898217,1606.0
